cuenta,nomenclatura,porcentaje_copropiedad,superficie_mejoras,superficie_mejoras_propias,superficie_mejoras_comunes,superficie_parcela,antiguedad,puntaje,d_viasprin,cantidad_cuentas,cantidad_cuentas_250,vut,x,y,valor_omi,fechavalor,valuacion_,log_valuacion,log_val_omi,fechavalor_dt
110118460227,1101010125031038,0.047,140.43,108.0,32.43,894.0,51.0,64.0,0,25,2861,900,4388484.237,6524274.001,97960000.0,06/2024,31062270.36473,7.492233209444762,7.991048780886063,2024-06-01
110123989660,1101010125032005,0.059,43.16,33.0,10.16,360.01,25.0,64.0,0,14,4614,1500,4388626.792,6524332.355,49600000.0,04/2024,42417872.928677,7.627548896990934,7.6954816852461345,2024-04-01
110123989651,1101010125032005,0.074,53.64,41.0,12.64,360.01,25.0,64.0,0,14,4614,1500,4388626.792,6524332.355,7917000.0,08/2022,7723817.262096,6.887832046477448,6.89856069979565,2022-08-01
110123989708,1101010125032005,0.106,76.07,58.0,18.07,360.01,25.0,64.0,0,14,4614,1500,4388626.792,6524332.355,12179999.999999998,08/2022,11813945.303349,7.072394992574561,7.085647323953216,2022-08-01
110121896192,1101010125032006,0.038,49.13,38.0,11.13,540.01,43.0,64.0,0,21,4655,1500,4388636.76,6524335.557,5697560.0,10/2021,4679272.904336,6.670178467645711,6.755688983579764,2021-10-01
110120073524,1101010125032009,0.1,115.15,90.0,25.15,169.01,48.0,64.0,0,18,4525,950,4388662.91,6524343.378,11654100.0,11/2021,4543811.02971,6.657420357001327,7.066478777573644,2021-11-01
110123885091,1101010125032049,0.042,59.4,41.0,18.4,509.0,25.0,63.75,50,22,4144,900,4388616.477,6524283.81,8729000.0,08/2022,9783945.015936,6.990514047764351,6.940964543245859,2022-08-01
110140662887,1101010125032050,0.017,66.28,47.0,19.28,941.9716,12.0,93.37,50,77,4145,900,4388611.425,6524295.505,71920000.0,09/2024,84609548.48583001,7.927419382601076,7.856849684763749,2024-09-01
110140663131,1101010125032050,0.022,83.65,59.0,24.65,941.9716,12.0,93.34,50,77,4145,900,4388611.425,6524295.505,186000000.0,07/2024,110759431.785808,8.044380722997838,8.269512946552833,2024-07-01
110123224922,1101010125033037,0.025,112.89,78.0,34.89,679.94,36.0,64.0,0,37,5123,1500,4388698.147,6524352.402,27405000.0,01/2022,12512876.379234,7.097357188688968,7.43782982225549,2022-01-01
110123224884,1101010125033037,0.031,138.61,96.0,42.61,679.94,36.0,64.0,0,37,5123,1500,4388698.147,6524352.402,155000000.0,08/2024,84574057.78205799,7.927237173258327,8.190331700972191,2024-08-01
110121125145,1101010125034035,0.055,188.29,130.0,58.29,346.99,43.0,61.96,0,25,4906,1500,4388805.979,6524396.992,271560000.0,02/2025,91046676.458592,7.959264101830797,8.43386580160161,2025-02-01
110124353769,1101010125035048,0.018,83.6,60.25,23.35,901.0,17.0,72.0,0,75,4471,1500,4388946.672,6524437.948,78120000.0,07/2024,104847481.711171,8.02055800792705,7.892762240175142,2024-07-01
110123738748,1101010125036004,0.019,60.9,43.0,17.9,512.97,29.0,94.2,0,43,3992,1500,4389065.27,6524478.579,24704520.0,12/2023,27167704.531450003,7.434052961306812,7.392776437700297,2023-12-01
110123126165,1101010125037038,0.069,60.45,50.0,10.45,230.0,36.0,64.0,0,11,2950,950,4389155.159,6524496.053,68200000.0,06/2024,46537976.775482,7.667807507871419,7.833784381024433,2024-06-01
110142556723,1101010125040058,0.032,54.57,40.94,13.63,211.2006,6.0,64.0,200,30,3375,950,4389062.645,6524271.615,13195000.0,01/2022,10306822.382966,7.013124834068661,7.120409427469632,2022-01-01
110124532582,1101010125040019,0.071,81.94,62.0,19.94,204.11,18.0,64.0,200,19,3469,950,4389037.633,6524268.968,33869100.0,08/2023,30782990.688912,7.488310825074671,7.529803669159515,2023-08-01
110141771671,1101010125040026,0.031,61.93,45.0,16.93,400.0,10.0,77.52,150,30,3949,950,4388987.286,6524276.886,79360000.0,06/2024,80485181.33184801,7.905715932245463,7.899601664618583,2024-06-01
110123825659,1101010125040059,0.065,156.23,100.0,56.23,388.99,27.0,64.0,100,29,3964,950,4388959.704,6524327.723,260400000.0,07/2024,122811614.196136,8.089239443165384,8.415640981563952,2024-07-01
110140215406,1101010125041043,0.022,113.22,81.0,32.22,912.6997,14.0,96.0,100,67,4325,950,4388897.463,6524295.389,235600000.0,07/2024,170240267.783872,8.231062296301399,8.372175287958418,2024-07-01
110140215287,1101010125041043,0.025,125.92,90.0,35.92,912.6997,14.0,96.0,100,67,4325,950,4388897.463,6524295.389,217000000.0,09/2024,189414855.01107,8.277414038186844,8.336459735849887,2024-09-01
110124203643,1101010125041045,0.011,62.17,43.0,19.17,784.02,19.0,64.0,100,81,4323,900,4388850.817,6524276.365,143840000.0,09/2024,52690488.78633099,7.72173223559143,8.157879677408442,2024-09-01
110124203422,1101010125041045,0.012,66.55,46.0,20.55,784.02,19.0,64.0,100,81,4323,900,4388850.817,6524276.365,37853700.0,11/2023,21654614.8056,7.335550482917487,7.578108347384308,2023-11-01
110120038290,1101010125042009,0.066,77.92,63.0,14.92,230.01,49.0,64.0,200,17,4026,950,4388791.864,6524193.212,19488000.0,08/2022,6742852.341910001,6.828843713808054,7.289767293238007,2022-08-01
110120038214,1101010125042009,0.083,97.69,79.0,18.69,230.01,49.0,64.0,200,17,4026,950,4388791.864,6524193.212,20300000.0,01/2022,9030636.883379,6.9557184279931645,7.307496059307029,2022-01-01
110140025712,1101010125042010,0.043,59.12,44.0,15.12,230.1001,15.0,64.0,200,16,3938,950,4388784.612,6524190.657,84940000.0,09/2024,55280710.716348,7.742573625764349,7.929112261767616,2024-09-01
110124000432,1101010125042023,0.055,104.74,73.0,31.74,461.94,22.0,64.0,200,30,4117,950,4388802.847,6524196.901,19488000.0,08/2022,15619397.243002,7.193664298121446,7.289767293238007,2022-08-01
110140028118,1101010125042037,0.066,61.95,47.22,14.73,298.0,71.0,64.0,150,13,4009,900,4388751.309,6524211.67,91760000.0,08/2024,32373300.076523,7.510186986280001,7.96265340962615,2024-08-01
110140028215,1101010125042037,0.08,75.83,57.79,18.04,298.0,71.0,64.0,150,13,4009,900,4388751.309,6524211.67,15834000.0,01/2022,6963800.596935,6.842846389300009,7.199590668031663,2022-01-01
110124043140,1101010125042044,0.022,94.5,68.0,26.5,1150.9989,21.0,64.0,150,84,4343,900,4388808.931,6524227.081,111600000.0,08/2024,80045100.015988,7.903334757031963,8.047664198493088,2024-08-01
110124043492,1101010125042044,0.026,109.94,79.0,30.94,1150.9989,21.0,64.0,150,84,4343,900,4388808.931,6524227.081,148676000.0,08/2024,88241302.039228,7.945671912607204,8.172240871182163,2024-08-01
110124347211,1101010125042045,0.013,85.18,57.0,28.18,1319.0915,17.0,62.78,100,86,4667,900,4388787.401,6524256.913,21315000.0,09/2022,14561740.011224998,7.163213302612015,7.328685357358214,2022-09-01
110124347432,1101010125042045,0.018,119.89,80.0,39.89,1319.0915,17.0,62.77,100,86,4667,900,4388787.401,6524256.913,50547000.0,08/2022,20533408.366016004,7.312461065586649,7.703695393600843,2022-08-01
110143615413,1101010125043010,0.036,65.57,48.53,17.04,286.1993,9.0,70.0,150,30,3606,900,4388702.731,6524194.794,74400000.0,07/2024,31341210.357389,7.496115778209877,7.87157294138317,2024-07-01
110124671663,1101010125043018,0.071,71.3,51.0,20.3,197.2501,15.0,64.0,200,13,3113,950,4388675.79,6524149.254,73160000.0,01/2024,35879536.12615,7.554846831672624,7.864273702740608,2024-01-01
110144091990,1101010125043023,0.016,67.84,47.32,20.52,849.9793,10.0,68.47,150,80,3583,900,4388645.118,6524179.689,105276000.0,04/2025,35119621.020034,7.545549833102605,8.022329379531483,2025-04-01
110143341216,1101010125044049,0.011,53.79,37.65,16.14,808.6002,4.0,96.0,50,71,2849,900,4388535.539,6524177.043,136400000.0,09/2024,66109645.057358,7.820264832009735,8.134814373504437,2024-09-01
